Surname,#Awards,Education
Manna,4,"['Technion – Israel Institute of Technology', 'Carnegie Mellon University']"
Martin,3,['University of Oxford']
Martin,0,[]
Mashey,0,[]
Matiyasevich,3,['Leningrad State University']
Matsumoto,0,"['University of Tsukuba', 'Shimane University']"
Mauchly,3,['Johns Hopkins University']
Maulik,11,"['Nabadwip Bakultala High School', 'Calcutta University', 'Jadavpur University']"
McAuley,1,['University of Cambridge']
McCarthy,6,"['Princeton University', 'California Institute of Technology']"
McCallum,1,"['Dartmouth College', 'University of Rochester', '[2]']"
McIlroy,3,"['Cornell University', 'Massachusetts Institute of Technology']"
McKinstry,0,[]
McKusick,0,"['University of California, Berkeley']"
Meertens,2,[]
Mehlhorn,4,"['Cornell University', '[2]']"
Metcalf,0,[]
Meyer,3,"['Université de Nancy', 'Stanford University', 'École Polytechnique']"
Micali,3,"['La Sapienza University of Rome', 'UC Berkeley']"
Milner,5,[]
Minker,2,"['Brooklyn College', 'University of Wisconsin', 'University of Pennsylvania']"
Minsky,6,"['Harvard University', 'BA', 'Princeton University', 'MA', 'PhD']"
Mitchell,2,"['University of Waterloo', 'Carnegie Mellon University']"
Mitchell,3,"['Stanford University', 'Massachusetts Institute of Technology']"
Arvind,14,"['IIT Kanpur', 'B.Sc., 1969', 'University of Minnesota', 'M.S.', 'Ph.D.']"
Mockapetris,4,"['Massachusetts Institute of Technology', 'University of California at Irvine']"
Moler,2,"['California Institute of Technology', 'Stanford University']"
Moller,0,"['University of British Columbia', 'University of Waterloo', 'University of Edinburgh']"
Moon,0,['Pennsylvania State University']
Moore,0,[]
Moore,0,"['Virginia Tech', 'Brown University']"
Moore,9,"['University of California, Berkeley', 'BS', 'California Institute of Technology', 'PhD']"
Moore,0,[]
Moore,4,['Stanford University']
Moravec,0,"['Acadia University', '[1]', 'University of Western Ontario', '[1]', 'Stanford University', '[1]']"
Morgan,0,"['Ph.D.', 'University of Sydney']"
Morris,0,"['Harvard University ', 'Cornell University']"
Moses,0,"['BA', 'MA', 'Columbia University', 'PhD', 'mathematics', 'MIT']"
Motwani,1,"['IIT Kanpur', 'B.Tech', 'C.S.', 'UC Berkeley', 'Ph.D.', 'C.S.']"
Mukhanov,0,[]
Muggleton,4,['University of Edinburgh']
Müller,1,"['University of Karlsruhe', 'Diplom', 'University of Karlsruhe']"
Mycroft,0,"['University of Cambridge', 'University of Edinburgh']"
Myers,8,"['University of Toronto', 'Massachusetts Institute of Technology']"
Nadin,0,[]
Nagao,8,['Kyoto University']
Nake,9,[]
Nardi,0,[]
Naur,2,['Technical University of Denmark']
Needham,2,['University of Cambridge']
Nell,0,['Drexel University']
Nelson,2,"['Harvard University', 'Stanford University']"
Neumann,0,[]
Neumann,0,[]
Neumann,6,"['Pázmány Péter University', 'University of Berlin', 'ETH Zürich']"
Newell,5,"['Stanford University', 'Princeton University', 'Carnegie Mellon University']"
Newman,3,"[""St John's College, Cambridge""]"
Ng,9,"['University of California, Berkeley', 'Massachusetts Institute of Technology', 'Carnegie Mellon University']"
Nilsson,6,['Stanford University']
Nijssen,0,['Eindhoven University of Technology']
Nipkow,0,[]
Nivat,7,['Joseph Fourier University']
Nkambule,3,"['University of Pretoria', 'Cefups Academy']"
Noe,0,"['UC Berkeley', 'Stanford University']"
Nordin,0,"['University of Dortmund', 'Chalmers University of Technology', 'Göteborg University']"
Norman,4,"['MIT', 'University of Pennsylvania']"
Norvig,2,"['Brown University', 'University of California, Berkeley']"
Novacky,0,['University of Pittsburgh']
Nygaard,4,"['M.Sc.', 'University of Oslo']"
Odersky,0,"['Ludwig Maximilian University of Munich', 'ETH Zurich']"
O'Hearn,9,"['Dalhousie University', ""Queen's University""]"
Olle,0,['University of Manchester']
Omohundro,0,"['Stanford University', 'University of California, Berkeley']"
Ornstein,0,[]
O'Sullivan,2,[]
Ousterhout,2,"[""Bachelor's degree"", 'Ph.D']"
Overmars,0,['Utrecht University']
Owicki,0,['Cornell University']
Page,9,"['University of Michigan', 'BS', 'Stanford University', 'MS']"
Pal,2,"['Rajabazar Science College', 'University of Calcutta', 'Indian Statistical Institute', 'Imperial College London']"
Pandya,2,[]
Papadimitriou,5,"['Athens Polytechnic', 'Princeton University']"
Park,0,"['University of Oxford', 'Massachusetts Institute of Technology']"
Parnas,0,[]
Patil,0,"['University of California, San Diego', 'BA', 'University of Maryland College Park', 'PhD']"
Patt,6,[]
Patterson,6,"['University of California, Los Angeles']"
Paterson,2,"['Ph.D.', 'University of Cambridge']"
Pătrașcu,0,['Massachusetts Institute of Technology']
Paulson,1,"['California Institute of Technology', 'Stanford University']"
Pausch,5,"['Brown University', 'Carnegie Mellon University']"
Pavón,0,"['Technical University of Madrid', 'Université Pierre et Marie Curie']"
Pearl,5,"['Technion – Israel Institute of Technology', 'New Jersey Institute of Technology', 'Rutgers University', 'New York University Tandon School of Engineering']"
Perlis,2,"['Chemistry', 'Carnegie Mellon', 'MIT']"
Perlman,11,['MIT']
Perotto,0,[]
Péter,0,[]
Jones,3,['University of Cambridge']
Pham,0,"['Georgia Institute of Technology', 'Supélec', 'MIT Media Lab', 'Harvard University']"
Pieraccini,11,['University of Pisa']
Pingali,3,"['IIT Kanpur', 'MIT']"
Plotkin,3,"['University of Glasgow', 'University of Edinburgh']"
Pnueli,2,['Stanford University']
Poel,2,"['Delft University of Technology', 'B.S.', 'University of Amsterdam', 'Ph.D.']"
Popplewell,0,['University of Cambridge']
Post,0,"['City College of New York', '[1]', 'Columbia University', '[2]']"
Postel,6,['UCLA']
Preparata,2,['University of Rome']
Press,0,"['Harvard University', 'California Institute of Technology']"
Rabana,0,[]
Rozenberg,10,['Polish Academy of Sciences']
Rabin,10,"['Hebrew University of Jerusalem', 'MSc', 'University of Pennsylvania', 'Princeton University', 'PhD']"
Radev,2,[]
Raman,4,[]
Randell,0,['Imperial College London']
Ravn,2,"['University of Copenhagen', 'Technical University of Denmark']"
