,Surname,#Awards,Education
275,Hopper,9,"['Vassar College', 'BA', 'Yale University', 'MS', 'PhD']"
276,Horvitz,0,['Stanford University']
277,Householder,0,['University of Chicago']
278,Hudak,6,"['Vanderbilt University', 'B.S.', 'Massachusetts Institute of Technology', 'M.S.', 'University of Utah', 'Ph.D.']"
279,Huffman,2,"['Ohio State University', 'Massachusetts Institute of Technology']"
280,Hughes,3,"['University of Oxford', 'PhD']"
281,Hui,1,"['University of Alberta', 'University of Toronto']"
282,Humphrey,1,['United States Navy']
283,Hutchins,0,[]
284,Ichbiah,6,[]
285,Ierusalimschy,0,['Pontifical Catholic University of Rio de Janeiro']
286,Ingalls,2,"['Harvard University', 'B.A.', 'Stanford University', 'M.S.']"
287,Irwin,3,"['University of Illinois at Urbana-Champaign', 'Memphis State University']"
288,Iverson,4,"[""Queen's University"", 'Harvard University']"
289,Jacobson,0,"['Chalmers Institute of Technology', 'Gothenburg', 'Royal Institute of Technology', 'Stockholm']"
290,Jain,10,"['Indian Institute of Technology, Kanpur', 'Ohio State University']"
291,Jain,0,"['Indian Institute of Technology, Kharagpur', 'Visvesvaraya National Institute of Technology Nagpur']"
292,James,0,[]
293,Johnson,2,"['Amherst College', 'MIT']"
294,Johnson,0,"['Columbia University', 'Haverford College']"
295,Jones,0,['University of Oxford']
296,Jordan,5,"['University of California, San Diego']"
297,Joseph,2,"['Wilson College, Mumbai', 'University of Bombay', 'Welsh College of Advanced Technology', 'University of Cambridge']"
298,Joshi,12,"['College of Engineering, Pune', 'Indian Institute of Science', 'University of Pennsylvania']"
299,Joy,4,"['University of Michigan', 'University of California, Berkeley']"
300,Jurafsky,2,"['University of California at Berkeley', '[1]']"
301,Kahan,4,['University of Toronto']
302,Kahn,12,"['City College of New York', 'Princeton University']"
303,Kak,0,"['University of Madras', 'Indian Institute of Technology, Delhi']"
304,Kamp,0,[]
305,Karger,1,"['Harvard University', 'Stanford University']"
306,Karp,10,['Harvard University']
307,Karmarkar,11,"['IIT Bombay', 'Caltech', 'University of California, Berkeley']"
308,Karpinski,0,[]
309,Kaehler,0,"['Stanford University', 'B.S.', 'Carnegie Mellon University', 'MSc']"
310,Kay,3,"['University of Colorado at Boulder', 'BS', 'University of Utah College of Engineering', 'MS', 'PhD']"
311,Kayal,8,['IIT Kanpur']
312,Kellis,3,['Massachusetts Institute of Technology']
313,Kemeny,2,['Princeton University']
314,Kennedy,0,"['Rice University', 'New York University']"
315,Kernighan,0,"['University of Toronto', 'BASc', 'Princeton University', 'PhD']"
316,Kesselman,0,[]
317,Kiczales,0,['Massachusetts Institute of Technology']
318,Kirstein,3,"['University of Cambridge', 'Stanford University']"
319,Kleene,2,"['Amherst College', 'Princeton University']"
320,Klein,4,"['Cornell University', 'University of Oxford', 'Stanford University']"
321,Kleinrock,5,"['City College of New York', 'MIT']"
322,Knuth,14,"['Case Institute of Technology', 'BS', 'MS', 'California Institute of Technology', 'PhD']"
323,Koenig,0,['Columbia University']
324,Koller,5,"['Hebrew University of Jerusalem', 'Stanford University']"
325,Kölling,3,"['University of Bremen', 'University of Sydney']"
326,Kolmogorov,7,"['Moscow State University', 'Ph.D.']"
327,Kolodner,2,"['Brandeis University', 'Yale University']"
328,Korn,0,[]
329,Koster,0,['University of Amsterdam']
330,Kowalski,2,"['University of Chicago', 'University of Bridgeport', 'BA', 'Stanford University', 'MSc', 'University of Warsaw', 'University of Edinburgh', 'PhD']"
331,Koza,0,[]
332,Krogstie,0,[]
333,Kruskal,0,"['University of Chicago', 'Princeton University']"
334,Kruusmaa,4,"['Tallinn University of Technology', 'Chalmers University of Technology']"
335,Kurtz,2,"['Princeton University', 'Knox College', 'mathematics']"
336,Ladner,5,"[""St. Mary's College of California"", 'University of California, Berkeley']"
337,Lam,9,['Carnegie Mellon University']
338,Lamport,6,"['Massachusetts Institute of Technology', 'BS', 'Brandeis University', 'MA', 'PhD']"
339,Lampson,6,"['Harvard University', 'University of California, Berkeley']"
340,Landin,0,"['Clare College', 'Cambridge University']"
341,Lane,0,"['Carnegie Mellon University', 'Ph.D.']"
342,Langefors,0,['Stockholm University']
343,Lattner,2,"['University of Portland', 'University of Illinois at Urbana-Champaign']"
344,Lawrence,8,[]
345,Lazowska,0,"['Brown University', 'University of Toronto']"
346,Lederberg,3,"['Stuyvesant High School', 'Columbia University', 'Yale University']"
347,Lehman,2,['Imperial College London']
348,Leiserson,0,"['Carnegie Mellon University', 'Yale University']"
349,Lenat,2,"['University of Pennsylvania', 'Stanford University']"
